Country,Image,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,,434057.0,643992.0,494060.0,541454.0,563769.0,400474.0,420312.0,464851.0,428455.0,512491.0,585206.0,592215.0,542247.0,591572.0,519381.0,592557.0,605645.0,642428.0,589886.0,652372.0,834765.0,1206971.0,1547845.0,2445877.0,1972165.0,2177228.0,2284719.0,2080441.0,3224153.0,3953412.0,3669852.0,3583011.0,4334000.0,3725194.0,4598500.0,4757742.0,4964703.0,4928375.0,4470745.0,4693422.0,4663938.0,4056240.0,4701382.0,4758500.0,4887200.0,4801600.0,4519200.0,5018700.0,5940400.0,5059900.0,4831000.0,4525100.0,4145200.0,5153300.0,5029300.0,4201500.0,,
Ecuador,,78170.0,67300.0,52600.0,47200.0,61300.0,62727.0,78543.0,82910.0,94099.0,81000.0,68493.0,50640.0,45189.0,54989.0,64647.0,65000.0,39800.0,28904.0,31248.0,31113.0,41431.0,38538.0,26914.0,25172.0,18464.0,33006.0,31368.0,34198.0,25634.0,29907.0,17059.0,23997.0,25528.0,19836.0,19763.0,20431.0,19302.0,19787.0,19011.0,12958.0,13631.0,8845.0,11052.0,10214.0,8429.0,7577.0,9243.0,8144.0,11314.0,7605.0,5938.0,7450.0,5755.0,6814.0,2053.0,6746.0,,
Egypt,,1435926.0,1593098.0,1493000.0,1499881.0,1272000.0,1465000.0,1299000.0,1526000.0,1277000.0,1519000.0,1732000.0,1618000.0,1938112.0,1886000.0,2033265.0,1960000.0,1697000.0,1933000.0,1856000.0,1736440.0,1938327.0,2016992.0,1996000.0,1815176.0,1872000.0,1928000.0,2721000.0,2838000.0,3182000.0,4268049.0,4482523.0,4617997.0,4832598.0,4437055.0,5722441.0,5735367.0,5849134.0,6093151.0,6346642.0,6564053.0,6254583.0,6624868.0,6844692.0,7177855.0,8140960.0,8274230.0,7379000.0,7977051.0,8522995.0,7177399.0,8407126.0,8795483.0,9460200.0,9279804.0,9607736.0,9000000.0,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,13520.0,9605.0,7857.0,9635.0,31937.0,27518.0,13776.0,36490.0,4365.0,4755.0,9052.0,21559.0,21570.0,27274.0,5391.0,26142.0,33000.0,29000.0,33000.0,30000.0,30000.0,30000.0,31305.0,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89400.0,105600.0,57091.0,77101.0,101249.0,111186.0,118011.0,88424.0,146800.0,133003.0,148420.0,144885.0,196634.0,263408.0,219590.0,345726.0,342500.0,342520.0,327600.0,360400.0,484700.0,406800.0,615500.0,812600.0,455543.0,,
Eswatini,,,,,,,,,,,106.0,789.0,1147.0,1431.0,1134.0,442.0,194.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1435.0,400.0,300.0,385.0,500.0,450.0,300.0,341.0,350.0,300.0,300.0,327.0,330.0,341.0,345.0,333.0,348.0,325.0,399.0,420.0,450.0,551.0,700.0,720.0,663.0,565.0,577.0,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895520.0,802747.0,1083680.0,1162310.0,1092820.0,1142710.0,1149670.0,1235270.0,1596020.0,1444434.0,1618093.0,1614441.0,2176603.0,2219075.0,2463064.0,2314489.0,3075644.0,2855682.0,2916334.0,3434706.0,3925174.0,4231589.0,4650934.0,4537852.0,,
Finland,,460792.0,421500.0,397000.0,462500.0,500700.0,367800.0,506800.0,515500.0,481400.0,409300.0,443400.0,461900.0,462000.0,593100.0,621500.0,654100.0,294900.0,240600.0,208400.0,356700.0,235000.0,435400.0,549500.0,478300.0,472100.0,529100.0,281100.0,284600.0,507000.0,626900.0,430500.0,212300.0,358500.0,337400.0,379500.0,459300.0,464100.0,396900.0,254100.0,538300.0,488900.0,568600.0,679000.0,782300.0,801300.0,684100.0,796800.0,787500.0,887000.0,724400.0,974800.0,887100.0,869400.0,1088200.0,992100.0,823900.0,,
France,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/1200px-Flag_of_France.svg.png,9573520.0,14053770.0,10248960.0,13837700.0,14760000.0,11296620.0,14287540.0,14984900.0,14446000.0,12649000.0,15241000.0,17996000.0,17851008.0,19007008.0,15013000.0,16126000.0,17450000.0,20967712.0,19544000.0,23781008.0,23762000.0,25358000.0,24745008.0,32977008.0,28784000.0,26474784.0,27414576.0,29038496.0,31822304.0,33345808.0,34362204.0,32490755.0,29200263.0,30493197.0,30869729.0,35935157.0,33862198.0,39801138.0,36950991.0,37355957.0,31545319.0,38936515.0,30479362.0,39690180.0,36886103.0,35363563.0,32763446.0,39006372.0,38336865.0,38207431.0,35992794.0,37885742.0,38651472.0,38950202.0,42750027.0,29504454.0,36924938.0,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190700.0,114000.0,89400.0,76500.0,107400.0,291700.0,144629.0,226073.0,89406.0,306479.0,199675.0,225414.0,185834.0,190137.0,69700.0,74900.0,80300.0,53900.0,48400.0,96800.0,80700.0,81000.0,47500.0,125600.0,126600.0,,
Germany,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/1280px-Flag_of_Germany.svg.png,5076707.0,5906465.0,6135981.0,6551198.0,6149342.0,6053960.0,7830615.0,8575084.0,7987161.0,7794037.0,9631772.0,9351589.0,9995657.0,10914574.0,9749836.0,9416595.0,10149096.0,11265143.0,11177128.0,11253864.0,11254906.0,11370906.0,12548219.0,14125965.0,13801524.0,14601295.0,13971181.0,15620731.0,14509067.0,15241870.0,16611967.0,15541661.0,15766533.0,16480510.0,17763312.0,18921683.0,19826755.0,20187491.0,19615366.0,21621548.0,22837837.0,20817740.0,19259811.0,25427210.0,23692700.0,22427900.0,20828077.0,25988564.0,25192350.0,23782955.0,22782700.0,22409300.0,25019100.0,27784700.0,26549500.0,24463800.0,24481600.0,
Greece,,1527870.0,1722137.0,1416932.0,2088000.0,2071988.0,2020033.0,1935922.0,1568000.0,1723594.0,1930736.0,1946000.0,1768000.0,1682000.0,2153000.0,2120000.0,2376000.0,1766516.0,2704452.0,2407000.0,2970000.0,2932000.0,3039000.0,2059000.0,2316000.0,1807000.0,2389000.0,2314000.0,2514000.0,2762000.0,1939000.0,3162000.0,2288000.0,2078846.0,2470190.0,2314836.0,2086213.0,2081482.0,2062775.0,1976552.0,2287322.0,2196643.0,2038582.0,1701947.0,2092097.0,2018524.0,1778170.0,1629072.0,2074608.0,2139472.0,1920670.0,1857429.0,1835901.0,1831869.0,1570416.0,1609770.0,1698031.0,,
Guatemala,,24656.0,32079.0,35609.0,36100.0,27164.0,29642.0,31555.0,33140.0,31208.0,36025.0,38031.0,46715.0,47104.0,51106.0,45382.0,47864.0,55752.0,59616.0,56764.0,58128.0,55300.0,48600.0,69600.0,90700.0,53800.0,52744.0,45418.0,49895.0,44225.0,32033.0,22680.0,22680.0,24267.0,26004.0,26003.0,23690.0,23000.0,14633.0,8246.0,9525.0,6214.0,2676.0,2830.0,4232.0,2976.0,1588.0,1864.0,1846.0,1547.0,1438.0,1433.0,1515.0,1556.0,1674.0,594.0,744.0,,
Honduras,,802.0,755.0,691.0,560.0,528.0,538.0,549.0,564.0,681.0,681.0,700.0,700.0,700.0,500.0,500.0,500.0,500.0,1000.0,700.0,700.0,700.0,700.0,650.0,650.0,600.0,600.0,650.0,680.0,700.0,750.0,786.0,800.0,841.0,850.0,900.0,929.0,1000.0,1000.0,950.0,1052.0,1061.0,1062.0,1000.0,1055.0,1070.0,1085.0,1099.0,1113.0,1127.0,1140.0,1169.0,1172.0,1184.0,1196.0,1208.0,1220.0,,
Greece,,1935700.0,1973137.0,1592851.0,2142857.0,2453283.0,2348683.0,3021625.0,3360554.0,3585385.0,2722523.0,3921939.0,4094570.0,4502385.0,4970811.0,4007324.0,5148100.0,5319049.0,5677255.0,3708866.0,6077330.0,4613863.0,5761862.0,5985098.0,7391963.0,6578346.0,5793015.0,5747761.0,7025775.0,6539521.0,6198256.0,6007888.0,3453112.0,3020655.0,4873751.0,4614200.0,3911820.0,5258817.0,4898634.0,2638970.0,3692470.0,5196760.0,3910244.0,2941248.0,6006820.0,5088219.0,4376235.0,3986708.0,5630833.0,4419163.0,3745190.0,4107000.0,4010990.0,5058300.0,5261890.0,5331426.0,4788027.0,,
India,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/1200px-Flag_of_India.svg.png,10997000.0,12072000.0,10776000.0,9853000.0,12257000.0,10394000.0,11393000.0,16540100.0,18651600.0,20093296.0,23832496.0,26409904.0,24734608.0,21778000.0,24104400.0,28846304.0,29009904.0,31749200.0,35507808.0,31830000.0,36312608.0,37451808.0,42793904.0,45476000.0,44068800.0,47051808.0,44322896.0,46169408.0,54110208.0,49849504.0,55134496.0,55689504.0,57210100.0,59840000.0,65767400.0,62097400.0,69350200.0,66345000.0,71287504.0,76368896.0,69680896.0,72766304.0,65760800.0,72156200.0,68636896.0,69354496.0,75806704.0,78570200.0,80679400.0,80803600.0,86874000.0,94880000.0,93510000.0,95850000.0,86530000.0,93500000.0,98510000.0,99870000.0
